url,http_code,final_url,final_ip,size,status
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225745/index.m3u8,200,http://39.134.18.166:80/wh7f454c46tw1053253587_56133231/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225745/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.19.133_80&hms_devid=8152&online=1790328105&vqe=3,39.134.18.166,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053265579_-1933452888/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://111.21.22.148/PLTV/88888888/224/3221225798/index.m3u8,200,http://111.21.23.47:80/wh7f454c46tw1053276130_801923480/PLTV/88888888/224/3221225798/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=931,111.21.23.47,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8,404,http://39.134.18.115:80/wh7f454c46tw1053278249_1822442766/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8050&prioritypopid=14&online=1790328105&vqe=3,39.134.18.115,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226204/index.m3u8,200,http://111.20.33.91:80/wh7f454c46tw1053276077_725215739/PLTV/88888893/224/3221226204/index.m3u8?icpid=88888893&RTS=1790328105&from=1&ocs=2_111.20.33.72_80&hms_devid=824,111.20.33.91,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225799/index.m3u8,200,http://111.20.33.71:80/wh7f454c46tw1053285745_1799995090/PLTV/88888888/224/3221225799/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=103,111.20.33.71,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053287513_-1633646435/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://111.21.22.148/PLTV/88888888/224/3221225797/index.m3u8,200,http://111.20.33.73:80/wh7f454c46tw1053286184_1920257271/PLTV/88888888/224/3221225797/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=43,111.20.33.73,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8,200,http://39.134.18.169:80/wh7f454c46tw1053300975_-1369462642/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.134_80&hms_devid=8149&online=1790328105&vqe=3,39.134.18.169,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225800/index.m3u8,200,http://111.20.33.71:80/wh7f454c46tw1053296827_371456273/PLTV/88888888/224/3221225800/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=103,111.20.33.71,402,reachable
